id,nombre,tipo,tipo_sede,actividade,direccion,barrio,comuna,telefono,email,web,facebook,instalacio,geometry
11,America del Sud,Club de Barrio,Sede,Fútbol Infantil - Patín - Natación - Tango - Taekwondo - Fútsal - Gimnasio de Musculación - Gimnasia Modeladora - Gimnasia Aeróbica - Acrobacia - Aquagym - Básquet Masculino - Danza Árabe,"Bilbao, Francisco Av. 3760",Parque Avellaneda,Comuna 9,4671-6946,,,,Natatorio Climatizado - Salon - Gimnasio - Cancha,POINT (-58.473178931164895 -34.64380565314146)
12,Apolo Machain Saavedra,Club de Barrio,Sede,Danza - Tango - Gimnasia Aeróbica - Gimnasia con Aparatos - Gimnasia Modeladora - Taekwondo,Machain 3517,Saavedra,Comuna 12,4541-1652,,,,1 Salon,POINT (-58.48625496503987 -34.56003777455085)
13,Argentino,Club de Barrio,Sede,Gimnasia - Baby Fútbol - Artes Marciales,Albariño 2253,Mataderos,Comuna 9,4682-2045,clubargentino.mataderos@gmail.com,,,Biblioteca - 2 Salones,POINT (-58.48610601191667 -34.658723648268555)
14,Arquitectura,Club de Barrio,Sede,Gimnasia Artística - Gimnasia - Fútbol - Folklore - Boxeo - Básquet - Taekwondo - Tango - Tenis - Yoga - Hockey Femenino - Natación - Patín,"Beiro, Francisco Av. 2116",Agronomia,Comuna 15,4523-7306,clubarquitectura@hotmail.com,,,Cancha - Salones - Natatorio Climatizado - Canchas de Tenis -Cancha de Hockey Sintetica,POINT (-58.48486718966992 -34.58944405877603)
15,Asociacion Argentina de Sordomudos,Club de Barrio,Sede,Bowling Masculino - Básquet Masculino - Bowling Femenino - Fútbol 11 Masculino - Fútsal Femenino - Fútsal Masculino - Pesca Deportiva - Vóley Femenino - Vóley Masculino,"Alvarez, Julian 1544, Jualian Alvarez 1546",Palermo,Comuna 14,S/T,club.aso@gmail.com,www.aso.org.ar,aso1973,1 Salon - 1 Sala de Reuniones - 1 Patio descubierto,POINT (-58.42400666421832 -34.59243978411899)
16,Asociacion Atletica Argentinos Juniors Estadio Diego Armando Maradona,Club,Estadio,Fútbol - Colonia de Vacaciones,Gavilan 2151,Villa Gral. Mitre,Comuna 11,4581-1243,,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/aaajoficial,Estadio - Museo,POINT (-58.473027792621004 -34.60627637075423)
16,Asociacion Atletica Argentinos Juniors Central Polideportivo las Malvinas,Club,Central,Bochas - Boxeo - Hockey Sobre Patínes - Básquet - Gimnasia - Hándball - Judo - Natación - Patín - Taekwondo - Vóley - Yoga - Colonia de Vacaciones - Escuela de Fútbol,Punta Arenas 1271,Paternal,Comuna 15,4551-6887 / 4552-5603,,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/aaajoficial,"Pista de Patin, 4 Natatorios (2 Cubiertos), Gimnasio para Box, Canchas de Bochas, Canchas de Paddle, Cancha de Handball, Cancha de Hockey, Cancha de Basquet, Cancha de Fútbol.",POINT (-58.4697102129866 -34.59119240039164)
16,Asociacion Atletica Argentinos Juniors Estadio Microestadio Malvinas Argentinas,Club,Estadio,,Gutenberg 350,Paternal,Comuna 15,4552-5603/4551-6887,,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/aaajoficial,,POINT (-58.47146982360019 -34.59190518085971)
16,Asociacion Atletica Argentinos Juniors Anexo Deportivo Complejo Futbolistico,Club,Anexo Deportivo,Fútbol - Colonia de Vacaciones,Lafuente Av. 2105,Villa Soldati,Comuna 8,,,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/aaajoficial,"Complejo Futbolístico: Centro de entrenamiento y Formación del Futbol Amateur (C.E.F.F.A.) un Predio de Primer Nivel. de Lunes A Viernes Asisten Más de 350 Chicos, desde la Reserva Hasta las Categorías Menores de Infantiles. el Personal Se Compone de",POINT (-58.45052255322606 -34.65363026690806)
17,Asociacion Atletica Parque Chacabuco,Club de Barrio,Sede Administrativa,Atletismo,"Asamblea Av. y Curapaligue Av., 3º Piso A",Parque Chacabuco,Comuna 7,,aapchacabuco@gmail.com,,asociacion atletica parque chacabuco,entrenan en el Polideportivo Chacabuco,POINT (-58.44490492543571 -34.63553917868514)
18,Asociacion Atletico Primera Junta,Club de Barrio,Sede,Fútbol Femenino - Murga - Fútsal - Baby Fútbol,Zuviria 250,Parque Chacabuco,Comuna 7,4922-1796,,,,1 Cancha - 1 Salon,POINT (-58.4299301527816 -34.62900384825413)
19,Asociacion Bancaria,Club,Sede Administrativa,Golf - Tenis - Tiro - Vóley - Bowling - Básquet - Ajedrez - Fútbol - Pesca,"Maipu 62, 3º 0f 17",San Nicolas,Comuna 1,4343-6126 / 4342-2117,abadargentina@gmail.com,www.abadargentina.com.ar,asociacion bancaria argentina de deportes,"Sin Instalaciones, Utilizan Instalaciones de Asociaciones y Clubes Miembros",POINT (-58.376665664012776 -34.607432416272474)
20,Asociacion Circulo Italo Argentino Liber Piemont,Club de Barrio,Sede,Yoga - Tango - Gimnasia - Danza Clásica - Actividades Culturales - Artes Marciales - Billar - Folklore,"Rodriguez, Manuel A., General 1191",Caballito,Comuna 6,4581-5189,,,,Cancha - Salones - Biblioteca,POINT (-58.44820996541325 -34.607552154303264)
21,Asociacion Civil Club Atletico Social y Deportivo Defensores de Obra Social Ferroviaria DOSFE,Club de Barrio,Sede,Bochas - Fútbol - Vóley - Ajedrez,Reservistas Argentinos 195,Liniers,Comuna 9,4641-2455,,,,,POINT (-58.52123407731662 -34.63674256158368)
22,Asociacion Civil Club Hipico Buenos Aires,Club de Barrio,Sede,Equinoterapia - Equitacion - Hipismo,"Figueroa Alcorta, Pres. Av. 4800,  Esquina Belisario Roldán, enfrente del viejo Velódromo (hoy el Club CUBA)",Palermo,Comuna 14,4777-1222,clubhipicobsas@hotmail.com,,,1 Salon - 2 Pistas de Hipismo,POINT (-58.41556863419367 -34.56917158556296)
23,Asociacion Civil Club Social y Cultural Miraflores,Club de Barrio,Sede,Natación - Tenis - Patín - Baby Fútbol - Fútsal,Somellera 1770,Parque Chacabuco,Comuna 7,4382-5931,,,,1 Salon - 1 Cancha - Cancha de Tenis,POINT (-58.436769497943914 -34.64419867784165)
24,"Asociacion Civil de Ayuda, Recreativa y Polideportiva 17 de Noviembre",Club de Barrio,Sede,Básquet - Baby Fútbol - Vóley,"Walsh, Rodolfo y Perette, Carlos H., Calle 4 y 5   -Villa 31",Retiro,Comuna 1,,poli_31@hotmail.com,,,1 Cancha,POINT (-58.375747453818114 -34.58433168580195)
25,Asociacion Civil de Vecinos Florentino Ameghino (AVEFA),Club de Barrio,Sede,Yoga - Fútsal - Actividades Culturales - Baby Fútbol,Independencia Av. 4246,Boedo,Comuna 5,4922-2501 a partir de las 17 hs hasta las 24 hs,,,soydeadefa,Cancha - Biblioteca,POINT (-58.425786783773205 -34.62196569404059)
26,Asociación Civil La Cultura del Barrio,Club de Barrio,Sede,Ping Pong - Yoga - Boxeo - Gimnasia Funcional - Jiu Jitsu - Kick Boxing - Muay Thai - Taekwondo,Murillo 957,Villa Crespo,Comuna 15,2053-9867,boxeo.lcdb@gmail.com,,,,POINT (-58.44617894852764 -34.59839055603138)
27,Asociacion Civil Mano a Mano,Club de Barrio,Sede,Baby Fútbol - Fútbol Femenino - Gimnasia Infantil Recreativa,Bahia Blanca 105,Floresta,Comuna 10,4674-6262,asociacioncivil_manoamano@yahoo.com.ar,,,,POINT (-58.48098239220815 -34.63203887409355)
28,Asociacion Civil Olimpia Futbol Club de La Ciudad de Buenos Aires,Club de Barrio,Sede,,Tacuari 773,Monserrat,Comuna 1,4307-163,,,,,POINT (-58.37901488000035 -34.617212505415296)
29,"Asociacion Civil Sarandi Social, Cultural y Deportiva",Club de Barrio,Sede,Básquet - Fútbol - Hándball - Vóley,Sarandi 1477,San Cristobal,Comuna 3,4308-0822,,,,1 Cancha,POINT (-58.39356476425246 -34.62628106842429)
30,Asociacion Civil Sin Fines de Lucro Golf Club Lagos de Palermo,Club,Sede,Golf,"Tornquist, Ernesto Av. 6397",Palermo,Comuna 14,4774-5108,,,,Campo de Golf,POINT (-58.43461492808006 -34.55828293622737)
31,Asociacion Civil Sociedad de Fomento y Cultura Malvinas Argentinas,Club de Barrio,Sede,Ajedrez - Folklore - Salsa - Taekwondo - Yoga - Actividades Culturales - Actividades para Jubilados - Bachata,"Peron, Eva Av. 1930",Parque Chacabuco,Comuna 7,4923-1887,,,,Biblioteca - 3 Salones,POINT (-58.449636830902676 -34.63659610812758)
32,Asociacion Civil y Deportiva El Barrio,Club de Barrio,Sede,Patín - Karate - Hándball - Murga - Baby Fútbol - Vóley,Constitucion 4253,Boedo,Comuna 5,4924-9291,,,,1 Cancha - 1 Salon,POINT (-58.424376763511916 -34.62895619076737)
33,"Atlético Barracas Central Estadio Claudio ""Chiqui"" Tapia",Club,Estadio,Hándball - Fútbol - Gimnasia Deportiva - Vóley - Patín,Luna 1211,Barracas,Comuna 4,4301-5855,info@barracascentral.com,http://www.barracascentral.com/,https://www.facebook.com/bcentral,Cancha - Salones - Gimnasio,POINT (-58.39643472661828 -34.64713700869739)
34,Asociacion Club Atletico Iguazu,Club de Barrio,Sede,Baby Fútbol,San Blas 4225,Floresta,Comuna 10,4639-5969,,,,1 Salon.,POINT (-58.495670417020236 -34.62077226785714)
35,Asociacion Cristiana de Jovenes de La Republica Argentina Sede Parque,Club,Sede,Aquafitness - Vóley Masculino - Vóley Femenino - Buceo - Boxeo Recreativo - Bicicleta - Básquet Masculino - Básquet Femenino - Aquamoving - Tai Chi Chuan - Stretching - Running Team - Yoga - Escalada en Roca - Ymca Water - Ymca Dance - Escuela de Nat,Lafuente Av. 2480,Villa Soldati,Comuna 8,4918-3244,ymca@ymca.org.ar,www.ymca.org.ar,ymca argentina,3 Gimnasios - 2 Natatorios - 2 Canchas - 3 Salones,POINT (-58.44649086403141 -34.656274357462415)
35,Asociacion Cristiana de Jovenes de La Republica Argentina,Club,Central,Pesas - Fútbol - Gimnasia - Golf - Tango - Escalada en Roca - Colonia de Vacaciones - Básquet - Vóley - Natación - Folklore - Cursos de Buceo - Curso de Guardavida,Reconquista 439,San Nicolas,Comuna 1,4311-4785,ymca@ymca.org.ar,www.ymca.org.ar,ymca argentina,3 Gimnasios - 2 Natatorios - 2 Canchas - 3 Salones,POINT (-58.372271394989085 -34.60269597484494)
36,Asociacion Cultural y Deportiva Barkojba,Club,Sede Administrativa,Fútsal - Gimnasia - Hockey - Fútbol - Tenis,"Cordoba Av. 3621, 1º B",Palermo,Comuna 14,4862-6204,administracion@barkojba.com,www.barkojba.com,,3 Canchas - 2 Salones - 1 Natatorio,POINT (-58.417651663786906 -34.597635954504696)
37,Asociacion Cultural y Deportiva Estrella,Club de Barrio,Sede,Gimnasia - Cerámica,Superi 4437,Saavedra,Comuna 12,S/T,,,,Gimnasio - Biblioteca,POINT (-58.48279116160085 -34.547469804474304)
38,Asociacion de Fomento Corvalan y Biblioteca Popular Emilio Castro Anexo Alfonsina Storni,Club de Barrio,Sede,Patín - Artes Marciales - Baby Fútbol,Tapalque 5147,Mataderos,Comuna 9,4635-4218,clubcorvalan@yahoo.com.ar  -  deportecorvalan@hotmail.com,,,1 Cancha - 1 Gimnasio - 1 Salon,POINT (-58.49476338002317 -34.64849783301771)
39,Asociacion de Fomento Edilicia y Cultural Coronel Cardenas,Club,Sede,Fútbol Femenino - Baby Fútbol - Danza - Danza Árabe - Folklore - Fútbol - Tango - Patín,"Cardenas, Cnel. Av. 2910",Mataderos,Comuna 9,4686-3465,,,,2 Natatorios - 1 Cancha - 3 Salones,POINT (-58.50017660961462 -34.66961040031413)
40,Asociacion de Fomento Jose Soldati,Club de Barrio,Sede,Acrobacia con Tela - Patín Competitivo - Patín Artístico - Chaiu Do Kwan - Baby Fútbol,Lafuente 2931,Villa Soldati,Comuna 8,4918-6132,soldatijose@hotmail.com.ar,,,Cancha - Salon,POINT (-58.44153979133593 -34.66080412987335)
41,Asociacion de Fomento Parque Chas,Club de Barrio,Anexo Deportivo,Artes Marciales - Yoga - Tango - Baby Fútbol - Patín - Fútbol - Gimnasia,Gandara 2840,Parque Chas,Comuna 15,4524-7926,,www.afparquechas.com.ar,a f parque chas equipo deportivo,,POINT (-58.48102033746513 -34.58332397535586)
41,Asociacion de Fomento Parque Chas,Club de Barrio,Sede,Patín - Baby Fútbol - Yoga - Tango - Gimnasia,Bauness 1486,Parque Chas,Comuna 15,4523-2981,,www.afparquechas.com.ar,a f parque chas equipo deportivo,,POINT (-58.480270436848016 -34.58431007181989)
42,Asociación Española de Socorros Mutuos de San José de Flores,Club de Barrio,Sede,Gimnasia Rítmica - Yoga - Tai Chi Chuan - Taekwondo - Pelota Paleta - Kobu Do - Karate - Baby Fútbol - Fútbol,Pedernera 143,Flores,Comuna 7,4637-7730,aedsmdsjdf@gmail.com,,,,POINT (-58.46344704155851 -34.63096320933151)
43,Asociacion Scholem Aleijem,Club,Anexo Deportivo,Gimnasia Deportiva - Fútsal - Fútbol de Campo - Básquet Masculino - Vóley Femenino - Vóley Masculino - Taekwondo,Maturin 2455,Paternal,Comuna 15,4582-5719,administracion@sholem.org.ar,www.sholem.org.ar,,Salones - Canchas,POINT (-58.461082401663326 -34.599751253497445)
44,Asociacion Urquiza Tenis Club (Antes Asociacion Club Atletico Urquiza),Club,Sede,Bochas - Tenis - Karate,Caracas 4935,Villa Pueyrredon,Comuna 12,4573-3501,utc@fibertel.com.ar,,,"1 Cancha de Bochas, 1 de Fútbol 5, 1 Salon, Natatorio, 5 Canchas de Tenis (4 de Polvo de Ladrillo y una de Cemento)",POINT (-58.49697820636675 -34.58002631517153)
45,Asociacion Vecinal de Fomento y Cultura Santa Rita,Club de Barrio,Sede,Danza - Artes Marciales - Juegos de Mesa - Gimnasia Jazz,San Blas 2842,Villa Santa Rita,Comuna 11,4584-4874,,,,,POINT (-58.48057493485405 -34.6111828823107)
46,Asociacion Vecinal Lomas de Saavedra,Club de Barrio,Sede,Artes Marciales,Pico 3540,Saavedra,Comuna 12,4541-0777,,,,1 Cancha - 1 Salon,POINT (-58.48533712888887 -34.54513046633094)
47,Asociacion Vecinal Pro-Fomento de Saavedra y Biblioteca Popular (El Pañuelito),Club de Barrio,Sede,Baby Fútbol - Musculación - Vóley - Básquet,Jaramillo 3446,Saavedra,Comuna 12,4541-2810 / 4543-2119,,,,1 Cancha 20x14 Descubierta - 1 Salon,POINT (-58.478051602632256 -34.55312318313403)
48,"Asociacion Vecinal Villa General Mitre, Biblioteca Popular Ciencia y Labor",Club de Barrio,Sede,Taekwondo - Salsa - Baby Fútbol - Actividades Culturales - Ritmos Latinos - Tango - Danza Jazz - Folklore - Fútbol Femenino - Patín,"Diaz, Cesar, Gral. 2451",Villa Gral. Mitre,Comuna 11,4582-9779,cienciaylabor@gmail.com,,biblioteca ciencia y labor - pagina oficial club social,1 Cancha y 2 Salones,POINT (-58.47346117555431 -34.61127458259641)
49,Ateneo Popular Versailles,Club de Barrio,Sede,Boxeo - Artes Marciales - Cestoball - Danza - Tenis - Natación - Vóley - Gimnasia - Baby Fútbol,Roma 950,Versalles,Comuna 10,4641-0112,nuevoapv@yahoo.com.ar,www.ateneoversailles.com.ar,,Biblioteca - Natatorios - Canchas - Salones,POINT (-58.522544951736556 -34.62600088232235)
50,Atlético Atlanta Estadio Don León Kolbowsky,Club,Estadio,Fútsal - Básquet - Boxeo - Fútbol 11 - Artes Marciales - Baby Fútbol - Musculación - Patín - Vóley,Humboldt 374,Villa Crespo,Comuna 15,4856-5999,club_atlanta@hotmail.com,http://www.caatlanta.com.ar/,https://www.facebook.com/clubatleticoatlantaoficial,Natatorios - Salones - Canchas - Bibliotecas,POINT (-58.4485214720837 -34.595102618685345)
51,Atlético Huracán Estadio Tomás Adolfo Ducó,Club,Estadio,Natación - Vóley - Tango - Taekwondo - Patín - Hockey Sobre Patínes - Hockey Sobre Césped - Hándball - Gimnasia Artística - Gimnasia Aeróbica - Fútsal - Fútbol Profesional - Fútbol Amateur - Colonia de Vacaciones - Boxeo - Básquet - Actividad,"Alcorta, Amancio Av. 2570",Parque Patricios,Comuna 4,4911-9313/0757,,http://www.cahuracan.com/,https://www.facebook.com/cahuracan,"Estadio Tomas A. Ducó, Llamado Así por Quien Fue el Impulsor de Su Construcción, Fue declarado por la Legislatura Como Patrimonio Histórico y de defensa Estructural de la Ciudad de Buenos Aires, en el Año 2007 Bajo el Número de Expediente 62.548. /",POINT (-58.39714743853401 -34.6432066920343)
51,Atlético Huracán Anexo Deportivo La Quemita,Club,Anexo Deportivo,Hockey - Vóley - Tango - Taekwondo - Patín - Natación - Actividades Culturales - Básquet - Fútsal - Fútbol Profesional - Fútbol Amateur - Colonia de Vacaciones - Boxeo - Gimnasia Aeróbica - Gimnasia Artística - Hándball,"Acosta, Mariano 1981",Flores,Comuna 7,4637-6395,,http://www.cahuracan.com/,https://www.facebook.com/cahuracan,"la Quemita, Cuenta con 8 Canchas de Fútbol, en las Cuales entrenan el Primer Equipo y las Divisiones Inferiores, Que También Juegan Sus Partidos de Local Allí. entre Otras Instalaciones, Se encuentran: una Cancha de Hockey Sobre Césped, Cancha de Ten",POINT (-58.46095664074011 -34.65131338590495)
51,Club Atlético Huracán,Club,Sede Social,Fútbol Amateur - Hándball - Gimnasia Artística - Gimnasia Aeróbica - Fútsal - Fútbol Profesional - Patín - Natación - Hockey Sobre Patínes - Actividades Culturales - Básquet - Boxeo - Colonia de Vacaciones - Hockey Sobre Césped - Vóley - Tang,Caseros Av. 3159,Parque Patricios,Comuna 4,4911-9313/4719/6713,,http://www.cahuracan.com/,https://www.facebook.com/cahuracan,,POINT (-58.408475326761696 -34.637434956630756)
52,Atletico La Paternal,Club de Barrio,Sede,Vóley - Taekwondo - Patín Roller - Patín Artístico - Derby - Paleta - Muay Thai - Fútbol,Fragata Pres. Sarmiento 1951,Paternal,Comuna 15,4581-2558,calapaternal@hotmail.com,,,Cancha - Salones,POINT (-58.459586386908555 -34.60342073649449)
53,Atletico Lugano,Club de Barrio,Sede,Baby Fútbol - Básquet - Gimnasia Aeróbica - Hándball - Iniciación Deportiva - Vóley,Cafayate 4155,Villa Lugano,Comuna 8,4602-0196 y 4601-8214,clublugano@telecentro.com.ar,,,Cancha - Salones,POINT (-58.47742557015449 -34.678259658662974)
54,Barracas Juniors,Club de Barrio,Sede,Gimnasia Femenina - Fútbol - Tenis - Taekwondo - Básquet - Actividades Culturales - Academias Infantiles de Tenis - Pádel,"Hornos, Gral. 1850",Barracas,Comuna 4,4301-7285  4301-0948,barracasjuniors@yahoo.com,,,Canchas - Salones - Gimnasio,POINT (-58.37386755947765 -34.64761119845865)
55,Belgrano,Club de Barrio,Sede,Natación - Pelota Paleta - Squash - Tenis - Fútbol - Bridge - Gimnasio - Pádel,Arribeños 1701,Belgrano,Comuna 13,4784-8180   4787-2680,clubbelgrano@fibertel.com.ar,www.clubbelgrano.org.ar,,1 Cancha de Fútbol Papi Fútbol,POINT (-58.4471950388017 -34.56149952830907)
56,Biblioteca General Artigas,Club de Barrio,Sede,Vóley - Baby Fútbol - Gimnasia - Musculación - Patín - Taekwondo - Tango,Navarro 2544,Agronomia,Comuna 15,4575-4459 / 4571-1370,artigasclub@gmail.com,,biblioteca general artigas (oficial),Cancha - Salones - Gimnasio - Biblioteca,POINT (-58.490797429594906 -34.59190900875616)
57,Biblioteca y Asociacion Vecinal de Fomento Nueva Chicago,Club de Barrio,Sede,Baby Fútbol - Gimnasia - Patín - Danza,De Los Corrales Av. 7201,Mataderos,Comuna 9,4686-6151,,,,"1 Cancha, 1 Salon",POINT (-58.506016911920455 -34.66709751189825)
58,Bochin Club,Club de Barrio,Sede,Actividades Culturales - Arquería - Yoga - Pelota Paleta,"Alvarez, Julian 2355",Palermo,Comuna 14,4823-7507,clubelbochin@gmail.com,,,Canchas - Salones,POINT (-58.41617520268575 -34.58787715200376)
59,Boedo Billar Club,Club de Barrio,Sede,Billar,Medrano Av. 468,Almagro,Comuna 5,4982-6307/6545,boedobillarclub@fibertel.com.ar,,,2 Salones,POINT (-58.42144879029927 -34.6052616345947)
60,Brisas de Liniers,Club de Barrio,Sede,Artes Marciales - Baby Fútbol - Gimnasia - Yoga,Montiel 1374,Liniers,Comuna 9,4644-3552,,,,Salon - Cancha,POINT (-58.52229832204954 -34.653668800397234)
61,Brisas del Sud,Club de Barrio,Sede,Patín - Artes Marciales - Actividades Culturales - Natación Cubierta y Descubierta - Vóley - Gimnasia Infantil - Gimnasia Deportiva - Gimnasia Adultos - Fútbol,Guardia Nacional 1956,Mataderos,Comuna 9,4635-1444,,,,Cancha - Gimnasio - Salones - Natatorios,POINT (-58.48383864604051 -34.65487099962899)
62,Buenos Aires Sur,Club de Barrio,Sede,Taekwondo Adultos - Escuelita de Fútbol (EFI) - Fútbol Infantil (Fafi) - Vóley Femenino Adultos - Taekwondo Infantil - Fútbol Infantil (Fefi),Cochabamba 3650,Boedo,Comuna 5,4956-0487  (desde las 17.30 hs),,,club buenos aires sur,Canchas - Salon,POINT (-58.416662500294905 -34.627209113247304)
63,Caballito Juniors,Club de Barrio,Sede,Gimnasia Postural - Taekwondo - Gimnasia Deportiva - Fútsal (Afa) - Fútbol Infantil (Fafi) - Escuelita de Fútbol (EFI),"Oroño, Nicasio 566",Caballito,Comuna 6,4431-9600,caballito566@hotmail.com,,,2 Canchas - 1 Salon,POINT (-58.45258160191633 -34.617630679343634)
64,Cacho Laborde,Club de Barrio,Sede,Fútbol Juvenil - Fútbol para Adultos - Actividades Culturales - Fútbol Infantil,Luna 1547,Barracas,Comuna 4,,,,,Cancha de Fútbol 11 - Sum,POINT (-58.39559459251044 -34.65212809104998)
65,California,Club de Barrio,Sede,Pilates - Vóley - Baby Fútbol - Patín - Taekwondo,Andonaegui 3347,Villa Urquiza,Comuna 12,4541-9670,,,,1 Cancha - 1 Salon,POINT (-58.49633141417769 -34.56793051828495)
66,Capoeira,Club de Barrio,Sede,Hockey - Tango - Tenis - Baby Fútbol - Básquet - Gimnasia Deportiva,Padilla 1008,Villa Crespo,Comuna 15,4857-2851,eventos@capoeira.com,www.capoeira.com.ar,,Canchas - Salones - Natatorio,POINT (-58.44587887084422 -34.59725841074213)
67,Catalinas Sur Asociacion,Club,Sede,Pádel - Fútsal - Natación,Pi Y Margall 671,La Boca,Comuna 4,4300-5159,,,,"2 Natatorios, 3 Canchas y 2 Salones",POINT (-58.365706082766685 -34.627078805008374)
68,Centro Andino Buenos Aires,Club de Barrio,Sede,Palestra - Boulder,Rivadavia 1255,San Nicolas,Comuna 1,4381-1566,info@caba.org.ar,www.caba.org.ar,,,POINT (-58.384261089065404 -34.608611453778046)
69,Centro Comunitario Kadima,Club,Sede Administrativa,Aeróbica - Yoga - Tenis - Fútbol,"Pueyrredon, Honorio, Dr. Av. 1552, 7º C",Villa Crespo,Comuna 15,4586-4829,,,,Cancha - Natatorio,POINT (-58.4492180317943 -34.6034956672674)
70,Centro Navarro de Buenos Aires,Club de Barrio,Sede,Actividades Culturales - Taekwondo - Pelota Paleta - Danza Navarras,Moreno 3682,Almagro,Comuna 5,4932-7518,centronavarro@fibertel.com.ar,www.centronavarro.org,centro navarro de buenos aires organización,1 Cancha - 1 Salon - Biblioteca,POINT (-58.41827727560019 -34.61486581262118)
71,Centro Recreativo Municipal,Club de Barrio,Sede,,"Rivadavia Martin, Comodoro 1350",Nuñez,Comuna 13,4702-2409/8299 y 4701-3196,,,,"Parque de 7 Hectareas, Sector de Camping con Quinchos, Parrillas, Campos de deportes, Canchas de Fútbol, Vóley, Canchas de Tenis de Polvo de Ladrillo, Piscina y Solarium. 2 Salones.",POINT (-58.46115844451796 -34.539744825929404)
72,Centro Recreativo Toque y Toque,Club de Barrio,Sede,Fútbol Infantil Recreativo y Formativo  - Fútbol Infantil Competitivo,Zelada 4642,Villa Luro,Comuna 10,,,Toque y Toque FC,,,POINT (-58.4919574039901 -34.641508618523574)
73,Charrua,Club de Barrio,Sede,Defensa Personal,Charrua 3536,Nueva Pompeya,Comuna 4,4919-2648,,,,Salon,POINT (-58.42495343170747 -34.6586854744719)
